sub_category,title,text,table_markdown,images
공통,"소모품, 부품 구매는 어떻게 하나요?","▶부품을 구매하려 하나요? • 필터, 호스, 소모품 등 구매가 가능하며 판매 품목은 제품마다 상이합니다. • [부품구매] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요. • 서비스센터 홈페이지에서 구매하시려는 경우 제품의 모델명 또는 카테고리 선택 후 부품 명칭을 검색하시면 더욱 빠르고 쉽게 구매하실 수 있습니다. • 고객상담센터에서 구매하시려는 경우 제품의 모델명 또는 부품 명칭을 말씀해주시면 더욱 빠르고 쉽게 구매하실 수 있습니다. • 일부 부품은 안전상의 이유로 판매가 불가할 수 있으며, 전문가의 점검 및 서비스가 필요할 수 있습니다.",,없음
공통,"품질보증기간, 부품보유기간이 궁금해요","▶제품의 사용설명서, 간단설명서 뒷 부분에서 제품 보증서에서 품질보증기간, 부품보증기간을 확인해 주세요. • 상업용 제품아닌 일반 제품을 상업용으로 사용하는 경우 품질보증기간이 단축됩니다. • 품질보증기간내라도 안전점검을 요청하는경우 전문가의 점검 비용이 발생됩니다. ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/079ca8eb2a424a4e9372d6c16f56336b.png
안마의자,MMC145 제품 사용 방법 및 주의 사항이 궁금해요,"▣ 한국소비자원 X SK매직 안마의자 안전 사용 캠페인 ▣ ▣ 안마의자 MMC145 제품 사용 방법 안내 ▣ ▶ 안마의자 사용법 ▶ 안마의자 리모컨, 간편버튼 사용법 ▶ 안마강도 조절 사용법 ▣ 안마의자 주의사항 안내 ▣ ▶안마의자 사용 시 주의가 필요한 대상을 확인해 주세요. •성장기 어린이 또는 청소년 •경추, 척추, 요추 등을 수술하고 완전히 회복되지않은 사람 •사고나 질병으로 의사의 치료를 받고 있는 사람 •급성 질환, 악성 종양, 심장장애, 혈압이상, 발작증세, 심인성 질환, 만성질환, 심한당뇨병, 기타 피부질환 증세가 있는 사람 •의사 소통이 어려운 사람 또는 어린이 •열이 높거나 안정을 필요로 하는 사람 •임산부 •의족, 의수 등 신체에 금속 기구를 착용한 사람 •체내 투입형 의료기기를 사용하는 사람 •제품에 대한 경험과 지식이 부족한 사람 ▶안마의자 사용이 불가한 대상을 확인해 주세요. •중증의 혈행 장애나 혈전증 증세가 있는 사람 (다리에 정맥류 등) •의사가 사용이 불가하다 인정한 사람 ▶안마의자 사용시 주의사항을 확인해 주세요. •등받이나 다리 받침대가 움직일때나 각도 조절시 주변에 어린이나 물건 또는 반려동물 등이 없는하여 안마의자 틈새에 끼이지 않도록 주의해 주세요. •영,유아나 아동이 안마의자 위에서 놀거나 올라가지않게 해주세요. •온열기능을 장시간 사용시 저온화상의 위험이 있을 수 있습니다. •온열 작동 부위에 맨살이 닿지 않게하고, 온열 기능 사용시 반드시 헤드쿠션을 사용해주세요. •온열기능 사용시 피부가 약한 어린이, 노인, 환자들은 보호자의 보호하에 주의하여 사용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/cf2287076f2a4356a0afd514e1296263.jpg
안마의자,작동시 소음이 나요,"안마의자 작동시 안마기능을 동작시키는 기계부품에서 다양한 작동 소음이 발생합니다. ▣다음 내용을 확인해 주세요▣ ▶위잉-, 턱 턱 하는 소음이 발생하나요? •안마의자 사용시 모터 내부의 기어, 밸트, 에어솔레노이드 부품이 작동하며 발생하는 정상 소음입니다. <밸트 및 에어솔레노이드 부품 이미지> ▶달그락하는 롤러 소음이 발생하나요? •발바닥 위치의 롤러가 회전하며 발생하는 정상 작동 소음입니다. ▶지잉- 또는 바람 빠지는 소음이 발생하나요? •에어마사지 기능 사용시 에어셀 및 에어펌프가 작동하며 발생하는 정상 소음입니다. <에어셀 및 에어펌프 부품 이미지> ▶가죽 마찰 소음이 발생하나요? •안마볼이나 에어펌프가 작동하며 움직임이 시트에 전달되어 마찰음이 발생합니다. ▶작동 소음이 많이 커졌거나 이전에 나지 않던 소음이 발생하나요? •안마의자를 장기간 사용하면 자동차의 엔진 및 구동계통에서 발생음이 증가하는것과 같이 안마의자 동작음이 증가할수있습니다. •오랜시간을 연속하여 사용시 모터 소음이 커질 수 있으므로 안마의자 전원을 끄고 1시간 이후 재작동해 주세요. •초기에 발생하지 않았던 소음이 발생하는 경우 전문가의 점검이 필요합니다. ▶ 다음을 확인해주세요. •무중력 모드 및 안마의자를 위, 아래로 움직일 때 벽 또는 쇼파 등 사물이 닿는 건 아닌지 확인이 필요합니다. •롤러 작동 시 안마의자 가죽소재에 의해 마찰음이 발생 될 수 있습니다. •안마의자 바닥에 카페트가 깔려있지 않은 경우 발 또는 다리 부분에서 소음이 발생 될 수 있습니다. ☞확인 후에도 동일 증상이라면 전문가의 점검이 필요합니다. 서비스 접수는 [서비스센터 홈페이지-방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/f327a035e8c14c4c8c458b8c92c6a43b.png|https://static.service.skmagic.com/editor/faq/ckimg/c73539e102b546ac9803bb31d39bf537.png
안마의자,안마의자 사용시 주의사항을 알고싶어요,"▣ 한국소비자원 X SK매직 안마의자 안전 사용 캠페인 ▣ 안마의자 사용전 주변 환경 및 주의사항을 확인해 주세요. ▶안마의자 사용 시 주의가 필요한 대상을 확인해 주세요. • 성장기 어린이 또는 청소년 • 경추, 척추, 요추 등을 수술하고 완전히 회복되지않은 사람 • 사고나 질병으로 의사의 치료를 받고 있는 사람 • 급성 질환, 악성 종양, 심장장애, 혈압이상, 발작증세, 심인성 질환, 만성질환, 심한당뇨병, 기타 피부질환 증세가 있는 사람 • 의사 소통이 어려운 사람 또는 어린이 • 열이 높거나 안정을 필요로 하는 사람 • 임산부 • 의족, 의수 등 신체에 금속 기구를 착용한 사람 • 체내 투입형 의료기기를 사용하는 사람 • 제품에 대한 경험과 지식이 부족한 사람 ▶안마의자 사용이 불가한 대상을 확인해 주세요. • 중증의 혈행 장애나 혈전증 증세가 있는 사람 (다리에 정맥류 등) • 의사가 사용이 불가하다 인정한 사람 ▶안마의자 사용시 주의사항을 확인해 주세요. • 등받이나 다리 받침대가 움직일때나 각도 조절시 주변에 어린이나 물건 또는 반려동물 등이 없는하여 안마의자 틈새에 끼이지 않도록 주의해 주세요. • 영,유아나 아동이 안마의자 위에서 놀거나 올라가지않게 해주세요. • 온열기능을 장시간 사용시 저온화상의 위험이 있을 수 있습니다. • 온열 작동 부위에 맨살이 닿지 않게하고, 온열 기능 사용시 반드시 헤드쿠션을 사용해주세요. • 온열기능 사용시 피부가 약한 어린이, 노인, 환자들은 보호자의 보호하에 주의하여 사용해 주세요. ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/cf2287076f2a4356a0afd514e1296263.jpg
안마의자,MMC150 제품 사용 방법 및 주의 사항이 궁금해요,"▣ 한국소비자원 X SK매직 안마의자 안전 사용 캠페인 ▣ ▣ 안마의자 MMC150 제품 사용 방법 안내 ▣ ▶ 안마의자 사용법 ▶ 안마의자 리모컨 사용법 ▶ 안마강도 조절 사용법 ▶ 안마의자 동작음 안내 ▶ 안마의자 음성인식 블루투스 사용 안내 ▣ 안마의자 주의사항 안내 ▣ ▶안마의자 사용 시 주의가 필요한 대상을 확인해 주세요. •성장기 어린이 또는 청소년 •경추, 척추, 요추 등을 수술하고 완전히 회복되지않은 사람 •사고나 질병으로 의사의 치료를 받고 있는 사람 •급성 질환, 악성 종양, 심장장애, 혈압이상, 발작증세, 심인성 질환, 만성질환, 심한당뇨병, 기타 피부질환 증세가 있는 사람 •의사 소통이 어려운 사람 또는 어린이 •열이 높거나 안정을 필요로 하는 사람 •임산부 •의족, 의수 등 신체에 금속 기구를 착용한 사람 •체내 투입형 의료기기를 사용하는 사람 •제품에 대한 경험과 지식이 부족한 사람 ▶안마의자 사용이 불가한 대상을 확인해 주세요. •중증의 혈행 장애나 혈전증 증세가 있는 사람 (다리에 정맥류 등) •의사가 사용이 불가하다 인정한 사람 ▶안마의자 사용시 주의사항을 확인해 주세요. •등받이나 다리 받침대가 움직일때나 각도 조절시 주변에 어린이나 물건 또는 반려동물 등이 없는하여 안마의자 틈새에 끼이지 않도록 주의해 주세요. •영,유아나 아동이 안마의자 위에서 놀거나 올라가지않게 해주세요. •온열기능을 장시간 사용시 저온화상의 위험이 있을 수 있습니다. •온열 작동 부위에 맨살이 닿지 않게하고, 온열 기능 사용시 반드시 헤드쿠션을 사용해주세요. •온열기능 사용시 피부가 약한 어린이, 노인, 환자들은 보호자의 보호하에 주의하여 사용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/cf2287076f2a4356a0afd514e1296263.jpg
안마의자,특정 부위 롤러나 두드림이 작동되지 않아요.,"▶롤러 또는 두드림이 작동되지 않는 경우 확인해 주세요. • 전원 코드선을 분리한 뒤 30초 후 다시 연결하여 확인해 주세요. • PC, 휴대폰 등에 일시적인 오류가 발생하는 경우 껐다 켜는것과 동일한 원리입니다. ☞확인 후에도 동일 증상일 경우 서비스 점검이 필요합니다. 서비스 접수는 [ 방문예약 ] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
안마의자,안마의자 이사를 하는데 이전설치는 어떻게 해야하나요,"▣다음 내용을 체크해 주세요▣ ▶서비스 요청시 분리 비용과 재설치 비용은 각각 발생됩니다. • [서비스센터 홈페이지-이용 요금안내] 에서 비용 확인이 가능합니다. ▶제품 이동서비스는 불가하므로, 제품과 부속품을 빠짐없이 챙기신 후 재설치하는 장소까지 옮겨주셔야합니다. •제품 분해 및 재조립 과정없이 제품 이동이 가능하다면, 제품의 전원코드를 분리한 뒤 옮겨주시면 됩니다. ☞제품 분리 및 재설치 서비스 접수는 [서비스센터 홈페이지-분리/설치 예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
안마의자,안마의자가 파손됐어요/부품 교체는 어떻게 하나요,"안마의자의 일부 부품은 별도로 구매하여 직접 교체할 수 있으나 본체 파손은 서비스 접수가 필요합니다. ▣다음 내용을 확인해 주세요▣ ▶제품이 파손된 경우 확인해 주세요. •헤드쿠션, 분리형 전원코드선, 분리형 리모컨, 리모컨주머니 등 분리가 가능하거나 교체용 부품의 경우 별도로 구매하여 자가 교체가 가능합니다. •부품 구매 가능 여부 확인 및 구매가 필요한 경우 모델명을 확인하여 [서비스센터 홈페이지-부품구매] 또는 고객상담센터(☎1600-1661)로 연락주시면 구매가 가능합니다. •일체형 전원코드선, 일체형 리모컨, 시트, 안마볼, 외관과 같이 분리되지 않는 부품의 경우 구매 및 자가교체가 불가하여 서비스 접수가 필요합니다. ▶분리가 가능한 부품 교체방법을 확인해 주세요. •리모컨 주머니, 헤드쿠션은 벨크로(찍찍이) 또는 지퍼로 장착되어있어 손쉽게 분리 후 장착이 가능합니다. •분리형 리모컨, 전원코드선은 본체 또는 본체의 연결선에 꽂는 구조로 손쉽게 분리 후 장착이 가능합니다. ☞모델에 따라 내용에 차이가 있을 수 있습니다. ☞서비스 접수는 [서비스센터 홈페이지-방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/42dd432707c84dc6990de87e3d62396f.png
안마의자,전원이 안들어와요/작동 중 전원이 꺼져요/차단기가 내려가요,"제품의 전원이 전혀 들어오지 않거나 사용중 갑자기 전원이 꺼진 경우 확인해 주세요. ▣다음 내용을 확인해 주세요▣ ▶안마의자의 타이머 설정 상태를 확인해 주세요. •설정된 안마시간이 경과되면 안마의자가 자동으로 꺼집니다. • 수면모드, 무중력모드에서 자동 종료시 안전상의 이유로 의자의 위치가 자동으로 복귀되지 않습니다 ▶안마의자의 상태를 확인해 주세요. •안마의자의 전원코드선은 안마의자 본체와도 분리가 가능합니다. 본체와 전원연결 어댑터가 잘 연결되어있는지 확인해 주세요. •본체의 전원스위치가 `ㅣ` 표시 방향으로 켜져있는지 확인해 주세요. •리모컨이 꺼져있다면 리모컨 전원스위치를 켜주세요. ▶제품의 전원코드선이 연결된 콘센트를 확인해주세요. •제품의 전원코드선이 콘센트에 정상적으로 잘 연결되어 있는지 확인해 주세요. •제품의 전원코드선이 콘센트에 연결되어 있다면 해당 콘센트에 드라이기 등 소형 전기제품를 연결하여 콘센트의 전원공급 상태가 정상인지 확인해 주세요. •콘센트에 여러 제품을 연결하여 사용시 전력 과부하로 인해 누전차단기가 내려가거나 작동 중 전원이 꺼질 수 있으므로 제품을 단독으로 연결하여 사용해 주세요. •대기전력 차단 콘센트에 연결하여 사용하는 경우 콘센트 상태를 [상시]로 설정하시거나 일반적인 콘센트에 연결하여 사용해 주세요. <대기전력 차단콘센트 이미지> ▶설치된 장소에 누전차단기를 확인해주세요. •제품이 설치된 장소에 누전차단기(두꺼비집)가 내려가 있는건 아닌지 확인해 주세요. 누전차단기가 내려가 있다면 다시 원상복구하여 사용해 주세요. <누전차단기 예시 이미지> ▶멀티콘센트로 연결하여 사용하는 경우 멀티콘센트를 확인해주세요. •멀티콘센트의 노후화로 작동이 안될 수 있으니 멀티콘센트를 교체한 후 확인해 주세요. •ON/OFF스위치가 없는 정격용량 250V, 16A 이상의 멀티콘센트를 사용해 주세요. •벽면콘센트와 멀티콘센트에 여러 제품을 연결하여 사용시 전력 과부하로 인해 누전차단기가 내려가거나 작동 중 전원이 꺼질 수 있으므로 제품을 단독으로 연결하여 사용해 주세요. ☞확인 후에도 동일 증상이라면 전문가의 점검이 필요합니다. 서비스 접수는 [서비스센터 홈페이지-방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/a107ec21b68b4dd9b3eb82091535030b.png|https://static.service.skmagic.com/editor/faq/ckimg/43ef292173b648a99e10f027e5f0d4a4.png|https://static.service.skmagic.com/editor/faq/ckimg/efac5526c713497e9f767873b1ad4a17.png
