sub_category,title,text,table_markdown,images
계약관련,이사하는데 이전설치는 어떻게 해야하나요?,"제품에 따라 전문가의 방문 서비스가 필요할 수 있습니다. ▶서비스 요청시 분리 비용과 재설치 비용은 각각 발생됩니다. • [이용 요금안내] 에서 비용 확인이 가능합니다. • 구독 제품을 일반구매제품으로 접수시 비용이 추가될 수 있습니다. ▶제품 이동서비스는 불가하므로, 분리된 제품은 부속품들을 빠짐없이 챙기신 후 설치하는 장소까지 옮겨주셔야 합니다. • 제품 분리 또는 설치를 위한 공사가 필요하다면 별도의 업체에 의뢰해 주셔야 합니다. ☞제품 분리 및 재설치 서비스 접수는 [분리/설치 예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
계약관련,명의변경하려면 어떻게 해야하나요?,"▶서비스센터 (온라인)에서는 별도의 서류 제출없이 명의변경 신청이 가능합니다. • 명의변경 신청은 양도인이 직접 신청하셔야 합니다. • 신청 단계에서 양수인의 성함, 연락처, 생년월일, 개인사업자의 경우 사업자번호 등 양수인 정보가 필요합니다. • 명의변경 대상 제품에 구독료가 청구된 경우 요금 납입 후 명의변경 신청이 가능합니다. ▶서비스센터(온라인)에서 명의변경 신청이 불가한 경우를 확인해 주세요. • 양도인 또는 양수인이 법인사업자일 경우 고객상담센터를 이용해 주세요. • 패키지, 크로스, 단체건 중 일부, SKT할인, SKB할인 계약건은 고객상담센터를 이용해 주세요. ☞서비스센터 명의변경 신청은 [정보변경] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
계약관련,중도 해약 시 위약금 산정 기준이 궁금해요.,"▶해약 정산금 산정기준 • 약정 및 의무사용기간 내 구독 반환 시 *해약 정산금 이 청구되며, 해약 정산금은 위약금, 할인반환금, 구독등록비, 회수폐기비, 미납급, 일수금으로 구성됩니다. • 구독 해약 및 위약금 안내는 [구독 해약/정산 비용안내] 를 통해 확인하실 수 있습니다. ☞서비스센터 홈페이지를 통해 이용중인 구독 제품의 [위약금 조회] 가 가능합니다.",,없음
계약관련,계약건 양도시(명의변경) 요금을 사용한 날짜만큼만 일할계산하여 납부할 수 있나요?,"▶구독료는 일할계산 납부가 불가합니다. • SK매직은 월 단위, 회차별 납부방식이므로 일단위 요금 청구 및 납입은 불가합니다. • 불가피하게 필요한 경우 양도, 양수자가 별도로 협의 후 진행하셔야 하며, 문제 발생시 SK매직에서 책임지지 않습니다. • 월 단위, 회차별 납부방식이란 제품 설치일로부터 1개월 단위로 청구되는 것을 뜻합니다.",,없음
계약관련,명의변경을 할 수 없는 경우도 있나요?,"▶명의변경이 불가한 경우를 확인해 주세요. • 양수인이 생년월일 기준 만 19세 미만인 경우 • 양수인이 신용 비정상인 경우 • 선납 할인을 받고 있는 경우 • 휴, 폐업 상태의 사업자가 양수받는 경우 • 구독료 미납 상태인 경우(요금 납부 후 가능) ​ ▶SK매직 서비스센터 홈페이지 상담예약 또는 고객상담센터(☎1600-1661)를 통해서만 명의변경이 가능한 경우를 확인해 주세요. • 법인사업자 회원일 경우 • 크로스, 패키지 등 결합된 제품 중 일부 제품만 요청하는 경우(결합 분리 후 가능) • SKT할인이 적용된 경우 ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
계약관련,제품을 명의변경하여 인수받을 경우 양수일자부터 계약 기간이 새로 시작되는 건가요?,"▶아닙니다. 계약 사항 및 계약 기간은 변경되지 않습니다. • 말 그대로 제품의 소유 명의자만 변경되는 것이며, 최초 구독 제품을 설치한 시점부터 사용 기간과 납은 계약기간이 그대로 승계됩니다. ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
계약관련,사업자번호가 변경 되었습니다. 처리방법을 알 수 있나요?,"▶개인사업자이며, 계약자와 대표자가 동일한 경우 •사업자등록증을 팩스 또는 이메일로 발송해 주세요. •요청사항과 통화 가능한 휴대전화번호를 기재하신 뒤 발송해주시면, 3시간 이내(평일 기준) 수신 확인 문자를 발송해드립니다. 수신 확인 문자를 받지 못하신 경우 서류 재발송 부탁드립니다. •서류 정상 접수 시 3~5일 이내로 담당자가 직접 연락드려 정보변경 처리를 도와드립니다. 팩스 : 070-4758-7728 이메일 : skmagic1@skmagic.com ▶개인사업자인데, 사업자번호 변경 및 계약자와 대표자가 다른 경우 •명의변경으로 진행되며, 서비스센터 홈페이지에서 간편하게 명의변경 신청 가능합니다. 단, 크로스, 패키지 등 결합되어 있는 계약 건 또는 SKT할인, SKB할인 유형에 해당하는 경우 홈페이지에서 명의변경이 불가합니다. 이러한 경우 [고객상담센터 ☎1600-1661] 또는 [서비스센터 홈페이지-상담예약] 으로 문의 부탁드립니다. ▶법인사업자(관공서)인데 사업자번호가 변경된 경우 •서비스센터 홈페이지에서 명의변경 불가합니다. 자세한 문의는 [고객상담센터 ☎1600-1661] 또는 [서비스센터 홈페이지-상담예약] 으로 문의 부탁드립니다.",,없음
계약관련,계약자가 사망했어요.,"▶계약자 사망 시 직계가족에 한하여 명의변경이 가능합니다. •가족관계 증명서에 계약자가 사망으로 표기되어 있지 않을 시 사망진단서를 첨부하셔야 합니다. ▶계약자 사망시 명의변경 필요서류 •명의변경 신청서, 가족관계 증명서, 양수인(신청자)신분증 ☞계약자 사망으로 인한 명의변경 신청은 [고객상담센터☎1600-1661] 또는 [서비스센터 홈페이지-상담예약] 으로 문의 부탁드립니다.",,없음
계약관련,법인(관공서) 대표자(상호)가 변경되었습니다. 세금계산서 수정하려면 어떻게 해야하나요?,"▶사업자번호는 변경되지 않고 법인 대표자 또는 상호만 변경된 경우 확인해 주세요. •사업자등록증을 팩스 또는 이메일로 발송해주세요. •요청사항과 통화 가능한 휴대전화번호를 기재하신 뒤 발송해주시면, 3시간 이내(평일 기준) 수신 확인 문자를 발송해드립니다. 수신 확인 문자를 받지 못하실 경우 서류 재발송 부탁드립니다. •서류 정상 접수 시 3~5일내로 담당자가 직접 연락드려 정보변경 처리를 도와드립니다. ☞<팩스> 070-4758-7728 ☞<이메일> skmagic1@skmagic.com ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
계약관련,제품을 구독하지 않고 일시불로 구입할 수 있나요?,네. 가능합니다. 매직몰 에서 구매하실 수 있습니다. 또는 담당MC나 상담실(1600-1661)로 문의주시면 친절히 상담 도와드리겠습니다.,,없음
계약관련,"개명을 했는데, 어떻게 해야 하나요?",▶개명으로 인한 구독 계약자명 변경은 [상담예약] 또는 [고객상담센터 ☎1600-1661]를 이용해 주세요.,,없음
계약관련,"한국국적을 취득해서 이름이랑 주민번호가 변경됐는데, 어떻게 해야 하나요?","▶변경 내용이 기재된 상세 주민등록초본(발급 3개월 이내)을 아래의 수신처로 접수해 주세요. • 주민번호 변경시 신분증을 통해 처리가 불가하므로, 반드시 발급 3개월 이내 초본 제출 부탁드립니다. • 요청사항과 통화 가능한 휴대전화번호를 기재하신 뒤 발송해주시면, 3시간 이내(평일 기준) 수신 확인 문자를 발송해드립니다. 수신 확인 문자를 받지 못하실 경우 서류 재발송 부탁드립니다. • 서류 정상 접수 시 3~5일내로 담당자가 직접 연락드려 정보변경 처리를 도와드립니다. ☞<팩스> 070-4758-7728 ☞<이메일> skmagic1@skmagic.com ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
계약관련,제품을 일시불로 구매할 때 한꺼번에 지불하기 부담스러운데 할부 혜택은 없나요?,▶무이자 장기할부 프로모션이 적용되는 제휴카드로 매직몰을 통해 구매시 24개월 또는 36개월 무이자 장기할부 및 캐시백 혜택을 제공합니다. ☞장기할부카드 서비스보기 링크,,없음
계약관련,중도 해약시 위약금과 접수 방법이 궁금해요,▶구독 중도 해약 시 납부해야 할 위약금은 서비스센터 홈페이지 로그인 후 확인이 가능합니다. ☞ [위약금조회] 바로가기 ▶구독 계약 해약 상담이 필요하신 경우 SK매직 고객상담센터[☎1600-1661]을 통해 해약상담이 가능합니다. •의무사용기간 경과 ~ 구독 계약 기간 이내 해약 요청 시 : 철거비 + 일수금/당월 및 미납금액 납부 후 해약 가능 •의무사용기간 이내 해약 시 : 중도 해약 위약금 완납 후 해약 가능,,없음
