sub_category,title,text,table_markdown,images
공통,"소모품, 부품 구매는 어떻게 하나요?","▶부품을 구매하려 하나요? • 필터, 호스, 소모품 등 구매가 가능하며 판매 품목은 제품마다 상이합니다. • [부품구매] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요. • 서비스센터 홈페이지에서 구매하시려는 경우 제품의 모델명 또는 카테고리 선택 후 부품 명칭을 검색하시면 더욱 빠르고 쉽게 구매하실 수 있습니다. • 고객상담센터에서 구매하시려는 경우 제품의 모델명 또는 부품 명칭을 말씀해주시면 더욱 빠르고 쉽게 구매하실 수 있습니다. • 일부 부품은 안전상의 이유로 판매가 불가할 수 있으며, 전문가의 점검 및 서비스가 필요할 수 있습니다.",,없음
공통,"품질보증기간, 부품보유기간이 궁금해요","▶제품의 사용설명서, 간단설명서 뒷 부분에서 제품 보증서에서 품질보증기간, 부품보증기간을 확인해 주세요. • 상업용 제품아닌 일반 제품을 상업용으로 사용하는 경우 품질보증기간이 단축됩니다. • 품질보증기간내라도 안전점검을 요청하는경우 전문가의 점검 비용이 발생됩니다. ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/079ca8eb2a424a4e9372d6c16f56336b.png
슈퍼아이스,이사를 하는데 이전설치는 어떻게 해야하나요 (SIMI900),"제품 분리 또는 설치시 부속품 손상 및 누수 발생 위험 요소가 있어 서비스 접수를 권장합니다. ▶분리 비용과 재설치 비용은 각각 발생됩니다. • [이용 요금안내] 메뉴에서 비용 확인이 가능합니다. • 구독 제품을 일반구매제품으로 접수시 비용이 추가될 수 있습니다. ▶제품 이동서비스는 불가하므로, 분리된 제품과 부속품들을 빠짐없이 챙기신 후 설치하는 장소까지 옮겨주셔야 합니다. ☞분리와 설치 접수가 필요한 경우 [분리/설치예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요. ※슈퍼아이스 제빙기는 최초 계약 당시 연결된 정수기에 한하여 연결 및 설치할 수 있습니다. 이사로 인한 재설치의 경우에도 계약기간내에는 최초 연결하였던 정수기도 함께 이전이 되어야하며, 슈퍼아이스 단독 설치 및 다른 정수기와의 연결 설치가 불가합니다.",,없음
슈퍼아이스,얼음 생성이 안돼요/얼음양이 작아요 (SIMI900),"▶제품 버튼의 램프 점등 상태를 확인해 주세요. • 제빙ON 버튼은 램프가 켜져있어야하며 제빙OFF 버튼은 램프가 꺼져있어야 제빙이 가능합니다. 해당 버튼을 5초 이상 길게 눌러 설정을 변경해 주세요. • 자물쇠(출빙)버튼의 램프가 켜져있는 경우 출빙기능이 잠긴것으로 해당 버튼을 5초 이상 길게 눌러 버튼의 램프를 꺼주세요. ▶급수가 정상적으로 이루어지는지 확인해 주세요. • 연결된 정수기에서 물이 나오는지 확인해 주세요. • 정수기 물이 나오지 않는다면 중간밸브 및 수도밸브의 잠김 상태 또는 급수 호스의 꺾임, 눌림 등이 없는지 확인해 주세요. ▶직전 얼음 사용량이 많았다면 확인해 주세요. • 제빙에 시간이 소요되므로 2시간 후 사용해 주세요. • 얼음이 내부에 소량 남아있을 경우, 출빙버튼을 10초~15초이상 길게 누르면 남아있는 얼음이 출빙 됩니다. ▶지속적인 증상 발생시 제품 뒷면 팬커버 청소 상태, 제품 설치 상태를 확인해 주세요. • 팬커버가 먼지나 이물질로 막혀있을 경우, 열순환을 원활히 하지못해 얼음 생성에 영향이 발생하여 주기적인 청소가 필요합니다. ☞[팬커버 청소 방법] • 제품 좌, 우, 뒷면이 막혀있는 경우 제품 내부의 열기가 밖으로 순환되지 못해 제품 내부의 온도가 상승하여 얼음 생성시간이 오래걸리거나 되지 않을 수 있습니다. • 제품 좌/우 측면, 후면은 벽면과의 거리를 최소 10cm 이상 확보하여 내부 열기가 원활히 배출되도록 해주세요. ☞서비스 접수는 [방문예약] 상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/ed36ef9610524545b4130ecf4bc534bb.png|https://static.service.skmagic.com/editor/faq/ckimg/28446fbce7ca4061872d215ce82e2cf9.png|https://static.service.skmagic.com/editor/faq/ckimg/ade0b17761ae48d38ecc2520dd88912e.png
슈퍼아이스,얼음 생성은 되는데 얼음이 나오지 않아요 (SIMI900),"얼음이 생성되어 내부에 있어도 출빙버튼이 잠긴 상태라면 출빙이 불가합니다. ▣다음 내용을 확인해 주세요▣ ▶출빙버튼 잠김 상태를 확인해 주세요. •자물쇠(출빙)버튼은 출빙기능을 잠그는 버튼으로 해당 버튼의 램프가 점등된 상태에서는 출빙버튼을 눌러도 얼음이 나오지 않습니다. •자물쇠(출빙)버튼을 5초 이상 길게 눌러 램프를 끄면 출빙 잠금이 해제되고, 램프를 켜면 출빙이 가능합니다. ▶출빙버튼이 잠기지 않아도 얼음이 나오지 않는 경우 확인해 주세요. 출빙버튼을 10초 이상 길게 눌러주세요. •출빙버튼을 10초 이상 길게 누르면 얼음보관통에 남아있던 소량의 얼음까지 출빙할 수 있습니다. •얼음 사용량이 많았다면 제빙에 시간이 소요되므로 2시간 후 사용해 보세요.",,https://static.service.skmagic.com/editor/faq/ckimg/df68dc77fecf4ceebe2ff0777efdb4f1.png
제빙기,얼음이 녹거나 깨져서 나와요,"▶ 만들어진 얼음끼리 서로 엉겨붙는 현상을 방지하기 위해 얼음저장통은 실온(영상)의 온도를 유지합니다. • 외부 온도가 높아지는 여름의 경우 얼음을 빨리 사용하지 않으면 얼음이 내부에서 녹을 수 있습니다. • 먼저 생성되어 쌓여있는 얼음 먼저 꺼내어 사용해 주세요. ▶ 얼음 생성후 탈빙시 보관통에 녹아있던 얼음과 부딪혀 얼음이 깨지는 현상도 발생될 수 있습니다. • 얼음을 장시간사용하지 않거나, 얼음을 처음 출빙할 때는 한두 차례 얼음을 빼내고 사용해 주세요. ▶ 얼음저장통 내부에 배수가 안되고 물이 고여있다면 얼음이 더 빠른 속도로 녹습니다. • 배수호스의 꺾임이나 눌려있는 부분은 없는지 확인해 주세요. • 배수호스가 이물질로 막혀있는지 확인 후 청소를 해주세요. • 얼음 저장통 내부의 여과망을 분리하여 청소해 주세요. ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
슈퍼아이스,물이 새요,"▶ 제품 본체에서 물이 새어나오는 경우 확인해 주세요. • 제품 내부 배수펌프의 작동이상으로 물이 정상적으로 배수되지 못하고 본체 외부 및 토출구 부분으로 흘러나올 수 있습니다. • 제품 전원을 OFF 하고, 콘센트를 분리 한 후 서비스 접수를 신청해 주세요. ▶ 급수호스에서 물이 새어나오는 경우 확인해 주세요. • 정수기의 중간밸브를 잠근 뒤 서비스 접수를 신청해 주세요. ▶ 배수호스에서 물이 새어나오는 경우 확인해 주세요. • 제품 전원을 OFF 한 후 서비스 접수를 신청해 주세요. ▶ 중간밸브 위치를 확인해 주세요. • 슈퍼아이스 제빙기는 정수기를 통해 물이 공급되는 제품으로 물공급의 차단은 정수기의 중간밸브를 잠궈주셔야 합니다. • 정수기에서 수도배관과 연결된 호스선을 따라가보면 중간밸브를 확인할 수 있습니다. • 설치환경에 따라 정수기와 슈퍼아이스 연결호스에 중간밸브가 추가로 설치되어 있는 경우도 있습니다. ※설치 위치에 따라 중간밸브 모양은 다를수 있습니다. ☞서비스 접수는 [방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/4be505bc1b3d406b874a3f7bf35e6a6a.png
슈퍼아이스,제빙기에서 여러가지 소리가 나요,"제빙기는 다양한 원리로 작동하며 여러가지 작동 소리가 발생합니다. ▣다음 내용을 확인해 주세요▣ ▶제빙기 동작시 나타나는 소리를 확인해 주세요. •웅~, 윙~ 소리는 콤프레셔와 팬이 내부의 열기를 배출하기 위해 작동하며 발생하는 정상 소음입니다. •물이 흐르는 소리는 정수기에서 물이 공급되거나 얼음이 녹은물, 얼음을 얼리고 남은 물이 배수되며 발생하는 정상 소음입니다. •덜덜덜 떨림 소리는 제품의 수평이 맞지 않거나 제품위에 물건을 올려두었을 경우 발생하는 진동 소음입니다. •달그락, 툭, 탁 소리가 나는 경우 제빙된 얼음이 아이스룸으로 떨어지며 발생하는 정상 소음입니다. •바람이 빠지는 소리가 나는 경우 제빙된 얼음을 떨어트리기 위해 냉매가 순환되며 발생하는 정상 소음입니다. ▶제빙기 동작시 나타나는 정상 소리가 아닌 다른 소리가 지속적으로 발생하거나 정상 소음이 크게 나나요? •웅~, 윙~ 소리는 설치환경이나 팬커버 청소 상태의 영향으로 더욱 크게 들릴 수 있으므로 제빙기의 측면, 뒷면과 벽면사이의 거리를 10cm이상 떨어트리고 팬커버를 청소해 주세요. (단, 팬커버 청소는 SIMI900모델에 한함) •SIMI900모델의 팬커버 청소 방법이 궁금하다면 [팬커버 청소 방법이 궁금해요] 바로가기 •연결된 호스선이 당겨지는 범위내에서 제빙기의 위치를 조금만 움직여 소음이 줄어든다면 제빙기의 수평상태 확인 및 위치를 소폭 이동해 주세요. •제품의 전원콘센트를 분리한 후 30초 후 연결하여 확인하여도 동일한 경우 서비스점검이 필요합니다. ☞서비스 접수는 [서비스센터 홈페이지-방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
슈퍼아이스(SIMI900),호스길이/제빙기 위치를 변경하고 싶어요,제빙기의 호스 길이를 연장해야하거나 본체 위치를 이동하고 싶은 경우 확인해 주세요. ▶호스의 길이가 짧아 연장이 필요한 경우 확인해 주세요. • 급수 및 배수호스의 길이가 짧아 단순 연장만 필요한 경우라도 서비스 접수가 필요합니다. • 본체 위치를 이동해야하나 호스의 길이가 짧아 이동이 어려운 경우도 호스 연장이 필요하여 서비스 접수가 필요합니다. • 호스 연장 및 위치 이동 요청시 서비스 비용이 발생되며 서비스 매니저가 방문하여 가능한 환경인지 먼저 확인 후 작업을 진행해드립니다. ▶제빙기의 위치 변경이 필요한 경우 확인해 주세요. • 제빙기에 연결된 호스의 길이가 가능한 범위에서만 소폭 이동이 가능하며 제품을 가볍게 밀어 옮길 수 있습니다. • 제품에 연결된 호스를 분리 후 다시 연결하거나 호스 연장이 필요한 장소로의 이동은 서비스 접수가 필요하며 필히 최초 계약시 연결되었던 정수기도 함께 이동 되어야 합니다. ▶제빙기를 다른 제품과 연결하려는 경우 확인해 주세요. • 계약기간중에는 슈퍼아이스는 최초 계약 당시 설치되었던 정수기 제품 외 다른 제품에 연결할 수 없습니다. • 같은 장소에 자사 정수기라도 연결 변경 및 설치가 불가합니다. ☞제품 분리 및 재설치 서비스 접수는 [분리/설치 예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.,,없음
슈퍼아이스,팬커버 청소 방법이 궁금해요,"▶팬커버에 먼지나 이물질이 쌓인 경우 발생하는 증상을 확인해 주세요. • 팬커버로 열기가 배출되지 못해 내부 온도가 높아져 냉각기의 목표 온도 도달까지 시간이 지연됩니다. • 아이스룸에 보관된 얼음이 빠르게 녹고, 얼음이 녹은 물이 자주 배출됩니다. • 열기를 식히는 내부의 팬 날개 작동하는 윙, 웅 소음이 커집니다. ▶팬커버 청소 방법을 확인해 주세요. ①반드시 제빙버튼을 OFF 시킨 뒤 뒷면 팬 작동이 멈추고 나면 전원 콘센트와 뒷면 팬커버를 분리해 주세요. ②분리한 팬커버의 먼지를 제거하고, 흐르는 물에 깨끗이 세척하여 건조해 주세요. ③팬커버를 분리하면 보이는 팬 날개도 브러쉬(칫솔) 또는 물티슈를 이용하여 닦아주세요. ④팬커버를 다시 제품 뒷면에 홈을 맞추어 조립하고 사용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/b14210a94a3e437caf2e3ddc168928ef.png|https://static.service.skmagic.com/editor/faq/ckimg/77a0ba9eb39d4b4e8f8c542f8743ebb8.png|https://static.service.skmagic.com/editor/faq/ckimg/f67b8af8041e49d68c5ac6bcb341d5cd.png
